,timestamp,sensor_00,sensor_01,sensor_02,sensor_03,sensor_04,sensor_05,sensor_06,sensor_07,sensor_08,sensor_09,sensor_10,line_mode_code,product_code,product_name
0,1/1/2024 0:00,2.465394,47.092009999999995,53.2118,46.310759999999995,634.375,76.45975,13.41146,16.13136,15.567129999999999,15.053529999999999,37.2274,1,1234,Product_1
1,1/1/2024 0:01,2.465394,47.092009999999995,53.2118,46.310759999999995,634.375,76.45975,13.41146,16.13136,15.567129999999999,15.053529999999999,37.2274,1,1234,Product_1
2,1/1/2024 0:02,2.444734,47.35243,53.2118,46.39757,638.8889,73.54598,13.32465,16.037329999999997,15.617770000000002,15.010129999999998,37.86777,1,1234,Product_1
3,1/1/2024 0:03,2.460474,47.092009999999995,53.1684,46.39756775,628.125,76.98898,13.317420000000002,16.24711,15.697339999999999,15.08247,38.57977,1,1234,Product_1
4,1/1/2024 0:04,2.445718,47.13541,53.2118,46.39756775,636.4583,76.58896999999999,13.353589999999999,16.21094,15.697339999999999,15.08247,39.48939,1,1234,Product_1
5,1/1/2024 0:05,2.453588,47.092009999999995,53.1684,46.39756775,637.6157,78.18568,13.41146,16.16753,15.89265,15.16204,39.294059999999995,1,1234,Product_1
6,1/1/2024 0:06,2.455556,47.04861,53.168399810790994,46.39756775,633.3333,75.81614,13.43316,16.13136,15.653929999999999,15.08247,38.29974,1,1234,Product_1
7,1/1/2024 0:07,2.449653,47.13541,53.168399810790994,46.39756775,630.6713,75.77331,13.252310000000001,16.124129999999997,16.19647,15.08247,37.3396,1,1234,Product_1
8,1/1/2024 0:08,2.4634259999999997,47.092009999999995,53.168399810790994,46.39756775,631.9444,74.58915999999999,13.288479999999998,16.13136,15.47309,15.11863,38.45401,1,1234,Product_1
9,1/1/2024 0:09,2.445718,47.17882,53.1684,46.39756775,641.7823,74.57428,13.382520000000001,16.24711,15.617770000000002,15.11863,39.521190000000004,1,1234,Product_1
